Energy Usage Information
"For location: CA RED FEATHER CT APPLE VALLEY 92307"

Meter Reading Information
"Type of readings: Electricity"

Summary of Electric Power Usage Information*
"Your download will contain interval usage data that is currently available for your selected Service Account. Based on how our systems process and categorize usage data, your download may contain usage data of the following types: actual, estimated, validated or missing. "

Detailed Usage
"Start date: 2021-10-21 23:00:00  for 15 days"

"Data for period starting: 2021-10-22 00:00:00  for 24 hours"
Energy  Delivered time period,Usage Delivered(Real energy in kilowatt-hours)(Real energy in kilowatt-hours),Reading quality
"2021-10-23 14:45:00 to 2021-10-23 15:00:00","1.410",""
"2021-10-23 15:00:00 to 2021-10-23 15:15:00","1.390",""
"2021-10-23 15:15:00 to 2021-10-23 15:30:00","1.360",""
"2021-10-23 15:30:00 to 2021-10-23 15:45:00","1.300",""
"2021-10-23 15:45:00 to 2021-10-23 16:00:00","1.240",""
"2021-10-23 16:00:00 to 2021-10-23 16:15:00","1.170",""
"2021-10-23 16:15:00 to 2021-10-23 16:30:00","1.080",""
"2021-10-23 16:30:00 to 2021-10-23 16:45:00","0.910",""
"2021-10-23 16:45:00 to 2021-10-23 17:00:00","0.710",""
"2021-10-23 17:00:00 to 2021-10-23 17:15:00","0.530",""
"2021-10-23 17:15:00 to 2021-10-23 17:30:00","0.130",""
"2021-10-23 17:30:00 to 2021-10-23 17:45:00","0.000",""
"2021-10-23 17:45:00 to 2021-10-23 18:00:00","0.000",""
"2021-10-23 18:00:00 to 2021-10-23 18:15:00","0.000",""
"2021-10-23 18:15:00 to 2021-10-23 18:30:00","0.000",""
"2021-10-23 18:30:00 to 2021-10-23 18:45:00","0.000",""
"2021-10-23 18:45:00 to 2021-10-23 19:00:00","0.000",""
"2021-10-23 19:00:00 to 2021-10-23 19:15:00","0.000",""
"2021-10-23 19:15:00 to 2021-10-23 19:30:00","0.000",""
"2021-10-23 19:30:00 to 2021-10-23 19:45:00","0.000",""
"2021-10-23 19:45:00 to 2021-10-23 20:00:00","0.000",""
"2021-10-23 20:00:00 to 2021-10-23 20:15:00","0.000",""
"2021-10-23 20:15:00 to 2021-10-23 20:30:00","0.000",""
"2021-10-23 20:30:00 to 2021-10-23 20:45:00","0.000",""
"2021-10-23 20:45:00 to 2021-10-23 21:00:00","0.000",""
"2021-10-23 21:00:00 to 2021-10-23 21:15:00","0.000",""
"2021-10-23 21:15:00 to 2021-10-23 21:30:00","0.000",""
"2021-10-23 21:30:00 to 2021-10-23 21:45:00","0.000",""
"2021-10-23 21:45:00 to 2021-10-23 22:00:00","0.000",""
"2021-10-23 22:00:00 to 2021-10-23 22:15:00","0.000",""
"2021-10-23 22:15:00 to 2021-10-23 22:30:00","0.000",""
"2021-10-23 22:30:00 to 2021-10-23 22:45:00","0.000",""
"2021-10-23 22:45:00 to 2021-10-23 23:00:00","0.000",""
"2021-10-23 23:00:00 to 2021-10-23 23:15:00","0.000",""
"2021-10-23 23:15:00 to 2021-10-23 23:30:00","0.000",""
"2021-10-23 23:30:00 to 2021-10-23 23:45:00","0.000",""
"2021-10-23 23:45:00 to 2021-10-24 00:00:00","0.000",""

"Data for period starting: 2021-10-24 00:00:00  for 24 hours"
Energy  Delivered time period,Usage Delivered(Real energy in kilowatt-hours)(Real energy in kilowatt-hours),Reading quality
"2021-10-24 00:00:00 to 2021-10-24 00:15:00","0.140",""
"2021-10-24 00:15:00 to 2021-10-24 00:30:00","0.130",""
"2021-10-24 00:30:00 to 2021-10-24 00:45:00","0.180",""
"2021-10-24 00:45:00 to 2021-10-24 01:00:00","0.110",""
"2021-10-24 01:00:00 to 2021-10-24 01:15:00","0.120",""
"2021-10-24 01:15:00 to 2021-10-24 01:30:00","0.110",""
"2021-10-24 01:30:00 to 2021-10-24 01:45:00","0.120",""
"2021-10-24 01:45:00 to 2021-10-24 02:00:00","0.130",""
"2021-10-24 02:00:00 to 2021-10-24 02:15:00","0.110",""
"2021-10-24 02:15:00 to 2021-10-24 02:30:00","0.120",""
"2021-10-24 02:30:00 to 2021-10-24 02:45:00","0.110",""
"2021-10-24 02:45:00 to 2021-10-24 03:00:00","0.090",""
"2021-10-24 03:00:00 to 2021-10-24 03:15:00","0.080",""
"2021-10-24 03:15:00 to 2021-10-24 03:30:00","0.120",""
"2021-10-24 03:30:00 to 2021-10-24 03:45:00","0.110",""
"2021-10-24 03:45:00 to 2021-10-24 04:00:00","0.110",""
"2021-10-24 04:00:00 to 2021-10-24 04:15:00","0.100",""
"2021-10-24 04:15:00 to 2021-10-24 04:30:00","0.110",""
"2021-10-24 04:30:00 to 2021-10-24 04:45:00","0.090",""
"2021-10-24 04:45:00 to 2021-10-24 05:00:00","0.100",""
"2021-10-24 05:00:00 to 2021-10-24 05:15:00","0.110",""
"2021-10-24 05:15:00 to 2021-10-24 05:30:00","0.120",""
"2021-10-24 05:30:00 to 2021-10-24 05:45:00","0.210",""
"2021-10-24 05:45:00 to 2021-10-24 06:00:00","0.210",""
"2021-10-24 06:00:00 to 2021-10-24 06:15:00","0.200",""
"2021-10-24 06:15:00 to 2021-10-24 06:30:00","0.200",""
"2021-10-24 06:30:00 to 2021-10-24 06:45:00","0.230",""
"2021-10-24 06:45:00 to 2021-10-24 07:00:00","0.220",""
"2021-10-24 07:00:00 to 2021-10-24 07:15:00","0.220",""
"2021-10-24 07:15:00 to 2021-10-24 07:30:00","0.190",""
"2021-10-24 07:30:00 to 2021-10-24 07:45:00","0.150",""
"2021-10-24 07:45:00 to 2021-10-24 08:00:00","0.110",""
"2021-10-24 08:00:00 to 2021-10-24 08:15:00","0.080",""
"2021-10-24 08:15:00 to 2021-10-24 08:30:00","0.030",""
"2021-10-24 08:30:00 to 2021-10-24 08:45:00","0.000",""
"2021-10-24 08:45:00 to 2021-10-24 09:00:00","0.000",""
"2021-10-24 09:00:00 to 2021-10-24 09:15:00","0.000",""
"2021-10-24 09:15:00 to 2021-10-24 09:30:00","0.000",""
"2021-10-24 09:30:00 to 2021-10-24 09:45:00","0.000",""
"2021-10-24 09:45:00 to 2021-10-24 10:00:00","0.000",""
"2021-10-24 10:00:00 to 2021-10-24 10:15:00","0.000",""
"2021-10-24 10:15:00 to 2021-10-24 10:30:00","0.000",""
"2021-10-24 10:30:00 to 2021-10-24 10:45:00","0.000",""
"2021-10-24 10:45:00 to 2021-10-24 11:00:00","0.000",""
"2021-10-24 11:00:00 to 2021-10-24 11:15:00","0.000",""
"2021-10-24 11:15:00 to 2021-10-24 11:30:00","0.000",""
"2021-10-24 11:30:00 to 2021-10-24 11:45:00","0.000",""
"2021-10-24 11:45:00 to 2021-10-24 12:00:00","0.000",""
"2021-10-24 12:00:00 to 2021-10-24 12:15:00","0.000",""
"2021-10-24 12:15:00 to 2021-10-24 12:30:00","0.000",""
"2021-10-24 12:30:00 to 2021-10-24 12:45:00","0.000",""
"2021-10-24 12:45:00 to 2021-10-24 13:00:00","0.000",""
"2021-10-24 13:00:00 to 2021-10-24 13:15:00","0.000",""
"2021-10-24 13:15:00 to 2021-10-24 13:30:00","0.000",""
"2021-10-24 13:30:00 to 2021-10-24 13:45:00","0.000",""
"2021-10-24 13:45:00 to 2021-10-24 14:00:00","0.000",""
"2021-10-24 14:00:00 to 2021-10-24 14:15:00","0.000",""
"2021-10-24 14:15:00 to 2021-10-24 14:30:00","0.000",""
"2021-10-24 14:30:00 to 2021-10-24 14:45:00","0.000",""
"2021-10-24 14:45:00 to 2021-10-24 15:00:00","0.000",""
"2021-10-24 15:00:00 to 2021-10-24 15:15:00","0.010",""
"2021-10-24 15:15:00 to 2021-10-24 15:30:00","0.010",""
"2021-10-24 15:30:00 to 2021-10-24 15:45:00","0.050",""
"2021-10-24 15:45:00 to 2021-10-24 16:00:00","0.050",""
"2021-10-24 16:00:00 to 2021-10-24 16:15:00","0.000",""
"2021-10-24 16:15:00 to 2021-10-24 16:30:00","0.280",""
"2021-10-24 16:30:00 to 2021-10-24 16:45:00","0.140",""
"2021-10-24 16:45:00 to 2021-10-24 17:00:00","0.010",""
"2021-10-24 17:00:00 to 2021-10-24 17:15:00","0.000",""
"2021-10-24 17:15:00 to 2021-10-24 17:30:00","0.000",""
"2021-10-24 17:30:00 to 2021-10-24 17:45:00","0.000",""
"2021-10-24 17:45:00 to 2021-10-24 18:00:00","0.120",""
"2021-10-24 18:00:00 to 2021-10-24 18:15:00","0.190",""
"2021-10-24 18:15:00 to 2021-10-24 18:30:00","0.210",""
"2021-10-24 18:30:00 to 2021-10-24 18:45:00","0.230",""
"2021-10-24 18:45:00 to 2021-10-24 19:00:00","0.420",""
"2021-10-24 19:00:00 to 2021-10-24 19:15:00","0.380",""
"2021-10-24 19:15:00 to 2021-10-24 19:30:00","0.290",""
"2021-10-24 19:30:00 to 2021-10-24 19:45:00","0.230",""
"2021-10-24 19:45:00 to 2021-10-24 20:00:00","0.230",""
"2021-10-24 20:00:00 to 2021-10-24 20:15:00","0.230",""
"2021-10-24 20:15:00 to 2021-10-24 20:30:00","0.270",""
"2021-10-24 20:30:00 to 2021-10-24 20:45:00","0.230",""
"2021-10-24 20:45:00 to 2021-10-24 21:00:00","0.180",""
"2021-10-24 21:00:00 to 2021-10-24 21:15:00","0.180",""
"2021-10-24 21:15:00 to 2021-10-24 21:30:00","0.180",""
"2021-10-24 21:30:00 to 2021-10-24 21:45:00","0.210",""
"2021-10-24 21:45:00 to 2021-10-24 22:00:00","0.230",""
"2021-10-24 22:00:00 to 2021-10-24 22:15:00","0.220",""
"2021-10-24 22:15:00 to 2021-10-24 22:30:00","0.170",""
"2021-10-24 22:30:00 to 2021-10-24 22:45:00","0.160",""
"2021-10-24 22:45:00 to 2021-10-24 23:00:00","0.190",""
"2021-10-24 23:00:00 to 2021-10-24 23:15:00","0.310",""
"2021-10-24 23:15:00 to 2021-10-24 23:30:00","0.400",""
"2021-10-24 23:30:00 to 2021-10-24 23:45:00","0.170",""
"2021-10-24 23:45:00 to 2021-10-25 00:00:00","0.280",""

"Data for period starting: 2021-10-24 00:00:00  for 24 hours"
Energy  Received time period,Usage Received(Real energy in kilowatt-hours)(Real energy in kilowatt-hours),Reading quality
"2021-10-24 00:00:00 to 2021-10-24 00:15:00","0.000",""
"2021-10-24 00:15:00 to 2021-10-24 00:30:00","0.000",""
"2021-10-24 00:30:00 to 2021-10-24 00:45:00","0.000",""
"2021-10-24 00:45:00 to 2021-10-24 01:00:00","0.000",""
"2021-10-24 01:00:00 to 2021-10-24 01:15:00","0.000",""
"2021-10-24 01:15:00 to 2021-10-24 01:30:00","0.000",""
"2021-10-24 01:30:00 to 2021-10-24 01:45:00","0.000",""
"2021-10-24 01:45:00 to 2021-10-24 02:00:00","0.000",""
"2021-10-24 02:00:00 to 2021-10-24 02:15:00","0.000",""
"2021-10-24 02:15:00 to 2021-10-24 02:30:00","0.000",""
"2021-10-24 02:30:00 to 2021-10-24 02:45:00","0.000",""
"2021-10-24 02:45:00 to 2021-10-24 03:00:00","0.000",""
"2021-10-24 03:00:00 to 2021-10-24 03:15:00","0.000",""
"2021-10-24 03:15:00 to 2021-10-24 03:30:00","0.000",""
"2021-10-24 03:30:00 to 2021-10-24 03:45:00","0.000",""
"2021-10-24 03:45:00 to 2021-10-24 04:00:00","0.000",""
"2021-10-24 04:00:00 to 2021-10-24 04:15:00","0.000",""
"2021-10-24 04:15:00 to 2021-10-24 04:30:00","0.000",""
"2021-10-24 04:30:00 to 2021-10-24 04:45:00","0.000",""
"2021-10-24 04:45:00 to 2021-10-24 05:00:00","0.000",""
"2021-10-24 05:00:00 to 2021-10-24 05:15:00","0.000",""
"2021-10-24 05:15:00 to 2021-10-24 05:30:00","0.000",""
"2021-10-24 05:30:00 to 2021-10-24 05:45:00","0.000",""
"2021-10-24 05:45:00 to 2021-10-24 06:00:00","0.000",""
"2021-10-24 06:00:00 to 2021-10-24 06:15:00","0.000",""
"2021-10-24 06:15:00 to 2021-10-24 06:30:00","0.000",""
"2021-10-24 06:30:00 to 2021-10-24 06:45:00","0.000",""
"2021-10-24 06:45:00 to 2021-10-24 07:00:00","0.000",""
"2021-10-24 07:00:00 to 2021-10-24 07:15:00","0.000",""
"2021-10-24 07:15:00 to 2021-10-24 07:30:00","0.000",""
"2021-10-24 07:30:00 to 2021-10-24 07:45:00","0.000",""
"2021-10-24 07:45:00 to 2021-10-24 08:00:00","0.000",""
"2021-10-24 08:00:00 to 2021-10-24 08:15:00","0.000",""
"2021-10-24 08:15:00 to 2021-10-24 08:30:00","0.010",""
"2021-10-24 08:30:00 to 2021-10-24 08:45:00","0.030",""
"2021-10-24 08:45:00 to 2021-10-24 09:00:00","0.090",""
"2021-10-24 09:00:00 to 2021-10-24 09:15:00","0.140",""
"2021-10-24 09:15:00 to 2021-10-24 09:30:00","0.160",""
"2021-10-24 09:30:00 to 2021-10-24 09:45:00","0.220",""
"2021-10-24 09:45:00 to 2021-10-24 10:00:00","0.230",""
"2021-10-24 10:00:00 to 2021-10-24 10:15:00","0.340",""
"2021-10-24 10:15:00 to 2021-10-24 10:30:00","0.370",""
"2021-10-24 10:30:00 to 2021-10-24 10:45:00","0.400",""
"2021-10-24 10:45:00 to 2021-10-24 11:00:00","0.470",""
"2021-10-24 11:00:00 to 2021-10-24 11:15:00","0.660",""
"2021-10-24 11:15:00 to 2021-10-24 11:30:00","0.720",""
"2021-10-24 11:30:00 to 2021-10-24 11:45:00","0.740",""
"2021-10-24 11:45:00 to 2021-10-24 12:00:00","0.930",""
"2021-10-24 12:00:00 to 2021-10-24 12:15:00","0.960",""
"2021-10-24 12:15:00 to 2021-10-24 12:30:00","0.960",""
"2021-10-24 12:30:00 to 2021-10-24 12:45:00","1.090",""
"2021-10-24 12:45:00 to 2021-10-24 13:00:00","0.990",""
"2021-10-24 13:00:00 to 2021-10-24 13:15:00","1.200",""
"2021-10-24 13:15:00 to 2021-10-24 13:30:00","1.110",""
"2021-10-24 13:30:00 to 2021-10-24 13:45:00","1.260",""
"2021-10-24 13:45:00 to 2021-10-24 14:00:00","1.330",""
"2021-10-24 14:00:00 to 2021-10-24 14:15:00","1.350",""
"2021-10-24 14:15:00 to 2021-10-24 14:30:00","1.260",""
"2021-10-24 14:30:00 to 2021-10-24 14:45:00","1.290",""
"2021-10-24 14:45:00 to 2021-10-24 15:00:00","1.110",""
"2021-10-24 15:00:00 to 2021-10-24 15:15:00","0.670",""
"2021-10-24 15:15:00 to 2021-10-24 15:30:00","0.600",""
"2021-10-24 15:30:00 to 2021-10-24 15:45:00","0.720",""
"2021-10-24 15:45:00 to 2021-10-24 16:00:00","0.420",""
"2021-10-24 16:00:00 to 2021-10-24 16:15:00","0.960",""
"2021-10-24 16:15:00 to 2021-10-24 16:30:00","0.300",""
"2021-10-24 16:30:00 to 2021-10-24 16:45:00","0.140",""
"2021-10-24 16:45:00 to 2021-10-24 17:00:00","0.280",""
"2021-10-24 17:00:00 to 2021-10-24 17:15:00","0.210",""
"2021-10-24 17:15:00 to 2021-10-24 17:30:00","0.110",""
"2021-10-24 17:30:00 to 2021-10-24 17:45:00","0.110",""
"2021-10-24 17:45:00 to 2021-10-24 18:00:00","0.010",""
"2021-10-24 18:00:00 to 2021-10-24 18:15:00","0.000",""
"2021-10-24 18:15:00 to 2021-10-24 18:30:00","0.000",""
"2021-10-24 18:30:00 to 2021-10-24 18:45:00","0.000",""
"2021-10-24 18:45:00 to 2021-10-24 19:00:00","0.000",""
"2021-10-24 19:00:00 to 2021-10-24 19:15:00","0.000",""
"2021-10-24 19:15:00 to 2021-10-24 19:30:00","0.000",""
"2021-10-24 19:30:00 to 2021-10-24 19:45:00","0.000",""
"2021-10-24 19:45:00 to 2021-10-24 20:00:00","0.000",""
"2021-10-24 20:00:00 to 2021-10-24 20:15:00","0.000",""
"2021-10-24 20:15:00 to 2021-10-24 20:30:00","0.000",""
"2021-10-24 20:30:00 to 2021-10-24 20:45:00","0.000",""
"2021-10-24 20:45:00 to 2021-10-24 21:00:00","0.000",""
"2021-10-24 21:00:00 to 2021-10-24 21:15:00","0.000",""
"2021-10-24 21:15:00 to 2021-10-24 21:30:00","0.000",""
"2021-10-24 21:30:00 to 2021-10-24 21:45:00","0.000",""
"2021-10-24 21:45:00 to 2021-10-24 22:00:00","0.000",""
"2021-10-24 22:00:00 to 2021-10-24 22:15:00","0.000",""
"2021-10-24 22:15:00 to 2021-10-24 22:30:00","0.000",""
"2021-10-24 22:30:00 to 2021-10-24 22:45:00","0.000",""
"2021-10-24 22:45:00 to 2021-10-24 23:00:00","0.000",""
"2021-10-24 23:00:00 to 2021-10-24 23:15:00","0.000",""
"2021-10-24 23:15:00 to 2021-10-24 23:30:00","0.000",""
"2021-10-24 23:30:00 to 2021-10-24 23:45:00","0.000",""
"2021-10-24 23:45:00 to 2021-10-25 00:00:00","0.000",""

"Data for period starting: 2021-10-25 00:00:00  for 24 hours"
Energy  Delivered time period,Usage Delivered(Real energy in kilowatt-hours)(Real energy in kilowatt-hours),Reading quality
"2021-10-25 00:00:00 to 2021-10-25 00:15:00","0.140",""
"2021-10-25 00:15:00 to 2021-10-25 00:30:00","0.140",""
"2021-10-25 00:30:00 to 2021-10-25 00:45:00","0.150",""
"2021-10-25 00:45:00 to 2021-10-25 01:00:00","0.140",""
"2021-10-25 01:00:00 to 2021-10-25 01:15:00","0.140",""
"2021-10-25 01:15:00 to 2021-10-25 01:30:00","0.130",""
"2021-10-25 01:30:00 to 2021-10-25 01:45:00","0.110",""
"2021-10-25 01:45:00 to 2021-10-25 02:00:00","0.130",""
"2021-10-25 02:00:00 to 2021-10-25 02:15:00","0.140",""
"2021-10-25 02:15:00 to 2021-10-25 02:30:00","0.150",""
"2021-10-25 02:30:00 to 2021-10-25 02:45:00","0.140",""
"2021-10-25 02:45:00 to 2021-10-25 03:00:00","0.140",""
"2021-10-25 03:00:00 to 2021-10-25 03:15:00","0.130",""
"2021-10-25 03:15:00 to 2021-10-25 03:30:00","0.130",""
"2021-10-25 03:30:00 to 2021-10-25 03:45:00","0.100",""
"2021-10-25 03:45:00 to 2021-10-25 04:00:00","0.130",""
"2021-10-25 04:00:00 to 2021-10-25 04:15:00","0.120",""
"2021-10-25 04:15:00 to 2021-10-25 04:30:00","0.120",""
"2021-10-25 04:30:00 to 2021-10-25 04:45:00","0.120",""
"2021-10-25 04:45:00 to 2021-10-25 05:00:00","0.100",""
"2021-10-25 05:00:00 to 2021-10-25 05:15:00","0.120",""
"2021-10-25 05:15:00 to 2021-10-25 05:30:00","0.110",""
"2021-10-25 05:30:00 to 2021-10-25 05:45:00","0.230",""
"2021-10-25 05:45:00 to 2021-10-25 06:00:00","0.240",""
"2021-10-25 06:00:00 to 2021-10-25 06:15:00","0.250",""
"2021-10-25 06:15:00 to 2021-10-25 06:30:00","0.250",""
"2021-10-25 06:30:00 to 2021-10-25 06:45:00","0.220",""
"2021-10-25 06:45:00 to 2021-10-25 07:00:00","0.250",""
"2021-10-25 07:00:00 to 2021-10-25 07:15:00","0.270",""
"2021-10-25 07:15:00 to 2021-10-25 07:30:00","0.260",""
"2021-10-25 07:30:00 to 2021-10-25 07:45:00","0.200",""
"2021-10-25 07:45:00 to 2021-10-25 08:00:00","0.170",""
"2021-10-25 08:00:00 to 2021-10-25 08:15:00","0.080",""
"2021-10-25 08:15:00 to 2021-10-25 08:30:00","0.020",""
"2021-10-25 08:30:00 to 2021-10-25 08:45:00","0.000",""
"2021-10-25 08:45:00 to 2021-10-25 09:00:00","0.010",""
"2021-10-25 09:00:00 to 2021-10-25 09:15:00","0.000",""
"2021-10-25 09:15:00 to 2021-10-25 09:30:00","0.000",""
"2021-10-25 09:30:00 to 2021-10-25 09:45:00","0.000",""
"2021-10-25 09:45:00 to 2021-10-25 10:00:00","0.000",""
"2021-10-25 10:00:00 to 2021-10-25 10:15:00","0.000",""
"2021-10-25 10:15:00 to 2021-10-25 10:30:00","0.000",""
"2021-10-25 10:30:00 to 2021-10-25 10:45:00","0.000",""
"2021-10-25 10:45:00 to 2021-10-25 11:00:00","0.000",""
"2021-10-25 11:00:00 to 2021-10-25 11:15:00","0.000",""
"2021-10-25 11:15:00 to 2021-10-25 11:30:00","0.000",""
"2021-10-25 11:30:00 to 2021-10-25 11:45:00","0.000",""
"2021-10-25 11:45:00 to 2021-10-25 12:00:00","0.000",""
"2021-10-25 12:00:00 to 2021-10-25 12:15:00","0.000",""
"2021-10-25 12:15:00 to 2021-10-25 12:30:00","0.000",""
"2021-10-25 12:30:00 to 2021-10-25 12:45:00","0.000",""
"2021-10-25 12:45:00 to 2021-10-25 13:00:00","0.000",""
"2021-10-25 13:00:00 to 2021-10-25 13:15:00","0.000",""
"2021-10-25 13:15:00 to 2021-10-25 13:30:00","0.000",""
"2021-10-25 13:30:00 to 2021-10-25 13:45:00","0.000",""
"2021-10-25 13:45:00 to 2021-10-25 14:00:00","0.000",""
"2021-10-25 14:00:00 to 2021-10-25 14:15:00","0.000",""
"2021-10-25 14:15:00 to 2021-10-25 14:30:00","0.000",""
"2021-10-25 14:30:00 to 2021-10-25 14:45:00","0.000",""
"2021-10-25 14:45:00 to 2021-10-25 15:00:00","0.000",""
"2021-10-25 15:00:00 to 2021-10-25 15:15:00","0.000",""
"2021-10-25 15:15:00 to 2021-10-25 15:30:00","0.000",""
"2021-10-25 15:30:00 to 2021-10-25 15:45:00","0.020",""
"2021-10-25 15:45:00 to 2021-10-25 16:00:00","0.100",""
"2021-10-25 16:00:00 to 2021-10-25 16:15:00","0.090",""
"2021-10-25 16:15:00 to 2021-10-25 16:30:00","0.090",""
"2021-10-25 16:30:00 to 2021-10-25 16:45:00","0.090",""
"2021-10-25 16:45:00 to 2021-10-25 17:00:00","0.100",""
"2021-10-25 17:00:00 to 2021-10-25 17:15:00","0.140",""
"2021-10-25 17:15:00 to 2021-10-25 17:30:00","0.230",""
"2021-10-25 17:30:00 to 2021-10-25 17:45:00","0.280",""
"2021-10-25 17:45:00 to 2021-10-25 18:00:00","0.220",""
"2021-10-25 18:00:00 to 2021-10-25 18:15:00","0.200",""
"2021-10-25 18:15:00 to 2021-10-25 18:30:00","0.210",""
"2021-10-25 18:30:00 to 2021-10-25 18:45:00","0.180",""
"2021-10-25 18:45:00 to 2021-10-25 19:00:00","0.210",""
"2021-10-25 19:00:00 to 2021-10-25 19:15:00","0.230",""
"2021-10-25 19:15:00 to 2021-10-25 19:30:00","0.210",""
"2021-10-25 19:30:00 to 2021-10-25 19:45:00","0.220",""
"2021-10-25 19:45:00 to 2021-10-25 20:00:00","0.360",""
"2021-10-25 20:00:00 to 2021-10-25 20:15:00","0.200",""
"2021-10-25 20:15:00 to 2021-10-25 20:30:00","0.270",""
"2021-10-25 20:30:00 to 2021-10-25 20:45:00","0.320",""
"2021-10-25 20:45:00 to 2021-10-25 21:00:00","0.350",""
"2021-10-25 21:00:00 to 2021-10-25 21:15:00","0.360",""
"2021-10-25 21:15:00 to 2021-10-25 21:30:00","0.430",""
"2021-10-25 21:30:00 to 2021-10-25 21:45:00","0.500",""
"2021-10-25 21:45:00 to 2021-10-25 22:00:00","0.290",""
"2021-10-25 22:00:00 to 2021-10-25 22:15:00","0.350",""
"2021-10-25 22:15:00 to 2021-10-25 22:30:00","0.240",""
"2021-10-25 22:30:00 to 2021-10-25 22:45:00","0.270",""
"2021-10-25 22:45:00 to 2021-10-25 23:00:00","0.250",""
"2021-10-25 23:00:00 to 2021-10-25 23:15:00","0.230",""
"2021-10-25 23:15:00 to 2021-10-25 23:30:00","0.210",""
"2021-10-25 23:30:00 to 2021-10-25 23:45:00","0.180",""
"2021-10-25 23:45:00 to 2021-10-26 00:00:00","0.130",""

"Data for period starting: 2021-10-25 00:00:00  for 24 hours"
Energy  Received time period,Usage Received(Real energy in kilowatt-hours)(Real energy in kilowatt-hours),Reading quality
"2021-10-25 00:00:00 to 2021-10-25 00:15:00","0.000",""
"2021-10-25 00:15:00 to 2021-10-25 00:30:00","0.000",""
"2021-10-25 00:30:00 to 2021-10-25 00:45:00","0.000",""
"2021-10-25 00:45:00 to 2021-10-25 01:00:00","0.000",""
"2021-10-25 01:00:00 to 2021-10-25 01:15:00","0.000",""
"2021-10-25 01:15:00 to 2021-10-25 01:30:00","0.000",""
"2021-10-25 01:30:00 to 2021-10-25 01:45:00","0.000",""
"2021-10-25 01:45:00 to 2021-10-25 02:00:00","0.000",""
"2021-10-25 02:00:00 to 2021-10-25 02:15:00","0.000",""
"2021-10-25 02:15:00 to 2021-10-25 02:30:00","0.000",""
"2021-10-25 02:30:00 to 2021-10-25 02:45:00","0.000",""
"2021-10-25 02:45:00 to 2021-10-25 03:00:00","0.000",""
"2021-10-25 03:00:00 to 2021-10-25 03:15:00","0.000",""
"2021-10-25 03:15:00 to 2021-10-25 03:30:00","0.000",""
"2021-10-25 03:30:00 to 2021-10-25 03:45:00","0.000",""
"2021-10-25 03:45:00 to 2021-10-25 04:00:00","0.000",""
"2021-10-25 04:00:00 to 2021-10-25 04:15:00","0.000",""
"2021-10-25 04:15:00 to 2021-10-25 04:30:00","0.000",""
"2021-10-25 04:30:00 to 2021-10-25 04:45:00","0.000",""
"2021-10-25 04:45:00 to 2021-10-25 05:00:00","0.000",""
"2021-10-25 05:00:00 to 2021-10-25 05:15:00","0.000",""
"2021-10-25 05:15:00 to 2021-10-25 05:30:00","0.000",""
"2021-10-25 05:30:00 to 2021-10-25 05:45:00","0.000",""
"2021-10-25 05:45:00 to 2021-10-25 06:00:00","0.000",""
"2021-10-25 06:00:00 to 2021-10-25 06:15:00","0.000",""
"2021-10-25 06:15:00 to 2021-10-25 06:30:00","0.000",""
"2021-10-25 06:30:00 to 2021-10-25 06:45:00","0.000",""
"2021-10-25 06:45:00 to 2021-10-25 07:00:00","0.000",""
"2021-10-25 07:00:00 to 2021-10-25 07:15:00","0.000",""
"2021-10-25 07:15:00 to 2021-10-25 07:30:00","0.000",""
"2021-10-25 07:30:00 to 2021-10-25 07:45:00","0.000",""
"2021-10-25 07:45:00 to 2021-10-25 08:00:00","0.000",""
"2021-10-25 08:00:00 to 2021-10-25 08:15:00","0.000",""
"2021-10-25 08:15:00 to 2021-10-25 08:30:00","0.010",""
"2021-10-25 08:30:00 to 2021-10-25 08:45:00","0.030",""
"2021-10-25 08:45:00 to 2021-10-25 09:00:00","0.000",""
"2021-10-25 09:00:00 to 2021-10-25 09:15:00","0.030",""
"2021-10-25 09:15:00 to 2021-10-25 09:30:00","0.100",""
"2021-10-25 09:30:00 to 2021-10-25 09:45:00","0.150",""
"2021-10-25 09:45:00 to 2021-10-25 10:00:00","0.230",""
"2021-10-25 10:00:00 to 2021-10-25 10:15:00","0.250",""
"2021-10-25 10:15:00 to 2021-10-25 10:30:00","0.430",""
"2021-10-25 10:30:00 to 2021-10-25 10:45:00","0.540",""
"2021-10-25 10:45:00 to 2021-10-25 11:00:00","0.650",""
"2021-10-25 11:00:00 to 2021-10-25 11:15:00","0.780",""
"2021-10-25 11:15:00 to 2021-10-25 11:30:00","0.890",""
"2021-10-25 11:30:00 to 2021-10-25 11:45:00","0.860",""
"2021-10-25 11:45:00 to 2021-10-25 12:00:00","0.800",""
"2021-10-25 12:00:00 to 2021-10-25 12:15:00","1.270",""
"2021-10-25 12:15:00 to 2021-10-25 12:30:00","1.470",""
"2021-10-25 12:30:00 to 2021-10-25 12:45:00","1.010",""
"2021-10-25 12:45:00 to 2021-10-25 13:00:00","1.380",""
"2021-10-25 13:00:00 to 2021-10-25 13:15:00","1.520",""
"2021-10-25 13:15:00 to 2021-10-25 13:30:00","1.300",""
"2021-10-25 13:30:00 to 2021-10-25 13:45:00","1.470",""
"2021-10-25 13:45:00 to 2021-10-25 14:00:00","1.480",""
"2021-10-25 14:00:00 to 2021-10-25 14:15:00","1.460",""
